Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
cheap pest control,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,0,2,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
cheap pest control,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
cheap pest control near me,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
cheap termite inspections,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cheap termite inspections,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cheapest bed bug exterminator,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
cheapest termite treatment near me,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cheapest termite treatment near me,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
chemical pesticide,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cicada killer removal,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Wasp & Hornet,USD,0.01,0,8,0.00%,0,0.00,12.50%,37.50%,0.00,0,0,0,0.00
cicada killer wasp nest removal,Not eligible,campaign paused; ad group paused,Broad match,BPM - Wasp & Hornet,Wasp & Hornet,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cicada killer wasp nest removal,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Wasp & Hornet,USD,0.01,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
cl 100 inspection,Not eligible,campaign paused,Broad match,BPM - Termites,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cl 100 inspection,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termite Inspection,USD,0.01,1,1,100.00%,8.35,8.35,100.00%,100.00%,0.00,0,0,0.00%,8350.00
cl 100 inspection,Not eligible,campaign paused; ad group removed,Broad match,Priority Pest,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cl 100 inspection,Not eligible,campaign paused; ad group removed,Broad match,Priority Pest,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cleaning and pest control services,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cock roaches,Not eligible,campaign paused; low quality,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,12,0.00%,0,0.00,83.33%,100.00%,0.00,0,0,0,0.00
cock roaches,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,68,0.00%,0,0.00,60.00%,80.00%,0.00,0,0,0,0.00
cockroach,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,1,36,2.78%,1.59,1.59,20.59%,76.47%,0.00,0,0,0.00%,44.17
cockroach control,Removed,campaign paused; ad group paused; removed,Broad match,Priority Pest,Cockroaches,USD,0,10,198,5.05%,1.10,10.99,21.51%,72.09%,0.00,0,0,0.00%,55.51
cockroach control,Removed,campaign paused; removed,Broad match,Priority Pest,Comm Pest Control,USD,0,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
cockroach control,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,1,40,2.50%,2.08,2.08,25.64%,82.05%,0.00,0,0,0.00%,52.00
cockroach eggs,Paused,campaign paused; paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cockroach eggs,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
cockroach elimination,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,3,33,9.09%,2.95,8.84,60.00%,96.67%,1.00,0,8.84,33.33%,267.88
cockroach elimination,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,2,51,3.92%,3.79,7.57,31.91%,78.72%,1.00,0,7.57,50.00%,148.43
cockroach extermination,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
cockroach extermination,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,6,154,3.90%,9.38,56.29,51.02%,88.78%,0.00,0,0,0.00%,365.52
cockroach extermination,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,54,"1,283",4.21%,3.37,182.22,34.14%,77.17%,5.50,0,33.13,10.19%,142.03
cockroach gel,Removed,campaign paused; ad group paused; removed,Broad match,Priority Pest,Cockroaches,USD,0,0,2,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
cockroach infestation,Paused,campaign paused; paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cockroach infestation,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,2,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
cockroach killer,Not eligible,campaign paused; low quality,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,2,55,3.64%,10.23,20.45,71.74%,93.48%,1.00,0,20.45,50.00%,371.82
cockroach killer,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,8,196,4.08%,2.58,20.60,50.29%,95.91%,1.00,0,20.60,12.50%,105.10
cockroach pest,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,8,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
cockroach pest,Not eligible,campaign paused; ad group paused; low quality,Broad match,Priority Pest,Cockroaches,USD,0.01,7,512,1.37%,2.02,14.15,33.56%,78.68%,0.00,0,0,0.00%,27.64
cockroach pest control,Paused,campaign paused; paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cockroach pest control,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,5,0.00%,0,0.00,0.00%,40.00%,0.00,0,0,0,0.00
cockroach pesticide,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,7,0.00%,0,0.00,14.29%,42.86%,0.00,0,0,0,0.00
cockroach prevention,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,9,0.00%,0,0.00,11.11%,77.78%,0.00,0,0,0,0.00
cockroach problem,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,2,27,7.41%,14.09,28.18,44.00%,88.00%,2.00,0,14.09,100.00%,1043.70
cockroach problem,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,1,96,1.04%,2.24,2.24,33.33%,76.67%,0.00,0,0,0.00%,23.33
cockroach removal,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,1,23,4.35%,17.00,17.00,76.19%,90.48%,0.00,0,0,0.00%,739.13
cockroach removal,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,56,922,6.07%,2.35,131.48,32.56%,86.46%,1.00,0,131.48,1.79%,142.60
cockroach repellent,Paused,campaign paused; paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cockroach repellent,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,1,76,1.32%,1.42,1.42,23.68%,90.79%,0.00,0,0,0.00%,18.68
cockroach solution,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cockroach species,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
cockroach treatment,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
cockroach treatment,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,12,257,4.67%,4.38,52.61,42.00%,84.00%,0.00,0,0,0.00%,204.71
cockroaches,Paused,campaign paused; paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cockroaches,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Cockroaches,USD,0.01,35,635,5.51%,1.60,56.03,40.10%,75.12%,0.00,0,0,0.00%,88.24
cockroaches in house,Removed,campaign paused; ad group paused; removed,Phrase match,Priority Pest,Cockroaches,USD,0,0,45,0.00%,0,0.00,26.67%,86.67%,0.00,0,0,0,0.00
cockroaches in house,Not eligible,campaign paused,Broad match,BPM - Cockroaches,Cockroaches,USD,0.01,0,5,0.00%,0,0.00,40.00%,60.00%,0.00,0,0,0,0.00
cockroaches in house,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Cockroaches,USD,0.01,2,59,3.39%,1.91,3.82,46.15%,89.74%,0.00,0,0,0.00%,64.75
commercial ant solutions,Not eligible,ad group removed; rarely served,Broad match,Warm_Weather_03-10,Ant,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial exterminator,Removed,campaign paused; removed,Broad match,Priority Pest,Comm Pest Control,USD,0,0,5,0.00%,0,0.00,0.00%,40.00%,0.00,0,0,0,0.00
commercial exterminators,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,2,22,9.09%,8.79,17.58,33.33%,83.33%,0.00,0,0,0.00%,799.09
commercial exterminators,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,29,0.00%,0,0.00,33.33%,70.83%,0.00,0,0,0,0.00
commercial fogger,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial fogger,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,2,0.00%,0,0.00,0.00%,50.00%,0.00,0,0,0,0.00
commercial mice control,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,4,21,19.05%,3.84,15.37,40.00%,80.00%,0.00,0,0,0.00%,731.90
commercial mice control,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,15,0.00%,0,0.00,25.00%,75.00%,0.00,0,0,0,0.00
commercial mosquito control,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial mosquito control,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,2,31,6.45%,4.90,9.79,20.00%,56.67%,1.00,0,9.79,50.00%,315.81
commercial pest control,Removed,campaign paused; removed,Broad match,BedBug_Leads_New,BB_New,USD,0,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
commercial pest control,Removed,campaign paused; removed,Broad match,Priority Pest,Comm Pest Control,USD,0,7,149,4.70%,1.42,9.94,21.77%,50.00%,0.00,0,0,0.00%,66.71
commercial pest control companies,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest control companies,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,2,13,15.38%,1.33,2.66,20.00%,40.00%,1.00,0,2.66,50.00%,204.62
commercial pest control near me,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,16,91,17.58%,4.19,66.97,20.00%,83.33%,0.00,0,0,0.00%,735.93
commercial pest control near me,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,39,0.00%,0,0.00,16.67%,56.67%,0.00,0,0,0,0.00
commercial pest control okc,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest control okc,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,18,530,3.40%,5.07,91.20,17.87%,65.66%,2.00,0,45.60,11.11%,172.08
commercial pest control prices,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest control prices,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,4,143,2.80%,7.98,31.93,12.78%,63.91%,0.00,0,0,0.00%,223.26
commercial pest control services,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,9,47,19.15%,1.50,13.50,0,0,1.00,0,13.50,11.11%,287.23
commercial pest control services,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,9,194,4.64%,5.16,46.46,16.67%,68.39%,0.00,0,0,0.00%,239.48
commercial pest control services near me,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest control services near me,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,10,0.00%,0,0.00,57.14%,57.14%,0.00,0,0,0,0.00
commercial pest control supplies,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest exterminator for retail,Not eligible,campaign paused; rarely served,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest exterminator for retail,Not eligible,campaign paused; rarely served,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest removal,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial pest removal,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,5,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
commercial pest solutions,Eligible,,Broad match,Warm_Weather_03-10,General Pest,USD,0.01,0,1,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
commercial rodent control,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial rodent control,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,1,28,3.57%,6.66,6.66,31.82%,54.55%,0.00,0,0,0.00%,237.86
commercial rodent solutions,Not eligible,ad group removed; rarely served,Broad match,Warm_Weather_03-10,Rodent,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial termite treatment,Not eligible,campaign paused,Broad match,BPM - Commercial,Comm Pest Control,USD,0.01,0,11,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
commercial termite treatment,Not eligible,campaign paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,9,0.00%,0,0.00,37.50%,75.00%,0.00,0,0,0,0.00
common house insects,Not eligible,campaign paused; ad group removed,Broad match,BPM - Commercial,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
common house insects,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
common house insects,Not eligible,campaign paused,Broad match,Priority Pest,Insects,USD,0.01,4,60,6.67%,1.24,4.97,39.62%,69.81%,0.00,0,0,0.00%,82.83
common house pests bugs,Not eligible,campaign paused,Broad match,BPM - Rats & Mice,Rats & Mice,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
common house pests bugs,Not eligible,campaign paused,Broad match,New_Rats&Mice_Leads,Ad group 1,USD,0.01,0,2,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
common house spiders,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Spiders,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
common house spiders,Not eligible,campaign paused,Broad match,Priority Pest,Spiders,USD,0.01,15,262,5.73%,1.41,21.14,51.60%,73.20%,0.00,0,0,0.00%,80.69
concrete slab termite protection,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
control de plagas precio,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,2,17,11.76%,3.43,6.86,66.67%,77.78%,0.00,0,0,0.00%,403.53
control de plagas precio,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,0,11,0.00%,0,0.00,40.00%,80.00%,0.00,0,0,0,0.00
control of termite,Removed,campaign paused; ad group paused; removed,Broad match,Priority Pest,Termites,USD,0,1,5,20.00%,1.05,1.05,20.00%,60.00%,0.00,0,0,0.00%,210.00
control pest,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,20,592,3.38%,1.30,26.07,19.89%,62.75%,1.00,0,26.07,5.00%,44.04
cost of mole removal in yard,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,1,17,5.88%,0.91,0.91,0.00%,50.00%,0.00,0,0,0.00%,53.53
cost of mole removal in yard,Not eligible,campaign paused,Broad match,Priority Pest,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cost of mouse exterminator,Removed,campaign paused; ad group paused; removed,Phrase match,Priority Pest,Rats & Mice,USD,0,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
cost of mouse exterminator,Removed,campaign paused; ad group paused; removed,Broad match,Priority Pest,Rats & Mice,USD,0,1,29,3.45%,4.06,4.06,28.00%,84.00%,0.00,0,0,0.00%,140.00
cost of pest control,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,3,68,4.41%,4.14,12.41,19.40%,68.66%,0.00,0,0,0.00%,182.50
cost of pest control,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
cost of termite inspection,Paused,campaign paused; paused,Broad match,BPM - Termites,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cost of termite inspection,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cost of termite inspection,Not eligible,campaign paused,Broad match,BPM - Termites,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cost of termite inspection,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termite Inspection,USD,0.01,0,126,0.00%,0,0.00,20.83%,66.67%,0.00,0,0,0,0.00
cost to get rid of termites,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cost to get rid of termites,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,8,0.00%,0,0.00,0.00%,50.00%,0.00,0,0,0,0.00
crane fly,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0
crickets,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
critter control,Not eligible,campaign paused,Broad match,Priority Pest,Mole and Gopher,USD,0.01,4,363,1.10%,6.93,27.71,17.78%,68.57%,1.00,0,27.71,25.00%,76.34
critter control okc,Not eligible,campaign paused,Broad match,Priority Pest,Mole and Gopher,USD,0.01,6,331,1.81%,6.69,40.17,21.37%,72.52%,0.00,0,0,0.00%,121.35
critter control services,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
critter in the attic,Removed,campaign paused; ad group paused; removed,Phrase match,Priority Pest,Rats & Mice,USD,0,1,9,11.11%,3.35,3.35,16.67%,83.33%,0.00,0,0,0.00%,372.22
critter in the attic,Not eligible,campaign paused,Broad match,BPM - Rats & Mice,Rats & Mice,USD,0.01,7,142,4.93%,5.93,41.51,34.82%,75.89%,0.00,0,0,0.00%,292.32
critter in the attic,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Rats & Mice,USD,0.01,19,638,2.98%,6.79,128.96,22.84%,83.88%,1.00,0,128.96,5.26%,202.13
critter removal,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,2,78,2.56%,2.94,5.87,28.30%,73.58%,0.00,0,0,0.00%,75.26
critter removal,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,1,14,7.14%,2.58,2.58,20.00%,60.00%,0.00,0,0,0.00%,184.29
critter trapping,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dealing with bed bugs,Paused,paused,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dealing with bed bugs,Paused,campaign paused; ad group paused; paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,9,0.00%,0,0.00,0.00%,44.44%,0.00,0,0,0,0.00
dealing with rats and mice,Not eligible,campaign paused; rarely served,Broad match,BPM - Rats & Mice,Rats & Mice,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dealing with rats and mice,Not eligible,campaign paused; rarely served,Broad match,New_Rats&Mice_Leads,Ad group 1,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dealing with rats and mice,Not eligible,campaign paused; ad group paused; rarely served,Broad match,Priority Pest,Rats & Mice,USD,0.01,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
deer tick,Not eligible,campaign paused; low quality,Broad match,BPM - Flea & Tick,Flea and Tick,USD,0.01,0,12,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
deer tick,Not eligible,campaign paused,Broad match,Priority Pest,Flea and Tick,USD,0.01,6,228,2.63%,1.28,7.67,26.82%,50.45%,0.00,0,0,0.00%,33.64
do termites eat engineered wood floors,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
do termites eat engineered wood floors,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
do termites smell like urine,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
does zevo kill ants,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
does zevo kill ants,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dog flea & tick control,Eligible,,Broad match,Warm_Weather_03-10,Flea & Tick,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dog flea & tick prevention,Eligible,,Broad match,Warm_Weather_03-10,Flea & Tick,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dog flea and tick treatment,Eligible,,Broad match,Warm_Weather_03-10,Flea & Tick,USD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
dog flea control pill,Eligible,,Broad match,Warm_Weather_03-10,Flea & Tick,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dog flea remover,Eligible,,Broad match,Warm_Weather_03-10,Flea & Tick,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dog flea treatment,Removed,removed,Broad match,Warm_Weather_03-10,Flea & Tick,USD,0,2,122,1.64%,7.11,14.21,46.28%,98.35%,0.00,0,0,0.00%,116.48
dog fleas,Paused,campaign paused; paused,Broad match,BPM - Flea & Tick,Flea and Tick,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dog fleas,Paused,campaign paused; paused,Broad match,Priority Pest,Flea and Tick,USD,0.01,6,169,3.55%,1.67,10.02,27.78%,82.10%,0.00,0,0,0.00%,59.29
don's pest control,Not eligible,campaign paused; ad group paused; low quality,Broad match,Priority Pest,Rats & Mice,USD,0.01,10,152,6.58%,4.42,44.23,42.55%,73.05%,0.00,0,0,0.00%,290.99
drywood termites,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
drywood termites,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,1,38,2.63%,1.19,1.19,22.22%,81.48%,0.00,0,0,0.00%,31.32
dust mite bugs,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,1,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
earwig control,Not eligible,campaign paused; ad group removed,Broad match,BPM - Commercial,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
earwig control,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
earwig control,Not eligible,campaign paused,Broad match,Priority Pest,Insects,USD,0.01,25,363,6.89%,2.04,50.88,31.65%,94.12%,0.00,0,0,0.00%,140.17
earwig control in house,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,0,9,0.00%,0,0.00,44.44%,77.78%,0.00,0,0,0,0.00
earwig control in house,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,6,222,2.70%,3.01,18.06,48.40%,94.68%,0.00,0,0,0.00%,81.35
earwig control in house,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,3,59,5.08%,2.41,7.23,49.02%,90.20%,0.00,0,0,0.00%,122.54
earwig extermination,Removed,campaign paused; removed,Phrase match,Priority Pest,Insects,USD,0,0,2,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
earwig extermination,Not eligible,campaign paused; ad group removed,Broad match,BPM - Commercial,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
earwig extermination,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
earwig extermination,Not eligible,campaign paused,Broad match,Priority Pest,Insects,USD,0.01,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
