Audience segment,Audience segment state,Campaign,Ad group,Currency code,Ad group default max. CPC,Audience segment max CPC,Audience Segment Bid adj.,Targeting Setting,Clicks,Impr.,CTR,Avg. CPC,Cost,Avg. CPM
Home & Garden › Outdoor Items,Removed,Priority Pest,Spiders,USD,0.01,0, --,Observation,14,186,7.53%,1.23,17.24,92.69
Home & Garden › Outdoor Items,Removed,Priority Pest,Termite Inspection,USD,0.01,0, --,Observation,0,6,0.00%,0,0.00,0.00
Home & Garden › Outdoor Items,Removed,Priority Pest,Termites,USD,0.01,0, --,Observation,4,87,4.60%,2.82,11.26,129.43
Home & Garden › Outdoor Items,Removed,Priority Pest,Wasp & Hornet,USD,0.01,0, --,Observation,2,131,1.53%,1.39,2.77,21.15
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,Ant,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,Flea & Tick,USD,0.01,0, --,Observation,0,8,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,General Pest,USD,0.01,0, --,Observation,0,6,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,Mole & Gopher,USD,0.01,0, --,Observation,0,2,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,Mosquito,USD,0.01,0, --,Observation,0,4,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,Rodent,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Grade-Schoolers (6-12 years),Enabled,Warm_Weather_03-10,Termite,USD,0.01,0, --,Observation,0,1,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,Ant,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,Flea & Tick,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,General Pest,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,Mole & Gopher,USD,0.01,0, --,Observation,0,2,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,Mosquito,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,Rodent,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Infants (0-1 years),Enabled,Warm_Weather_03-10,Termite,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,Ant,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
